name,price,status,shipping,freereturns,itemssold
"Apple MacBook Air 13"" 1TB SSD 2.8ghz i5 TURBO BOOST OSx-2019 - 3 YEAR WARRANTY",44900,Refurbished,0,True,1059
"Apple MacBook Pro 13in (256GB SSD, M1, 8GB) Laptop - Silver - MYDA2LL/A...",97500,Pre-Owned,1795,False,0
"New ListingApple MacBook Pro 15.4 inch (2TB, Intel Corei7, 2.9GHz, 16GB)  Late 2016",9000,Refurbished,2500,False,0
"2020 Apple MacBook Air 13"" (128GB SSD, Intel Core i3 10th Gen, 8GB Ram) Laptop",67999,Open Box,0,True,0
"New ListingApple MacBook Pro 15in(1TB SSD, Intel Core I7, 2.6GHz, 16GB RAM, NVIDIA GeForce",50000,Pre-Owned,2585,False,0
"Apple MacBook Pro 13"" Retina Good Condition (Early 2015) 128 SSD/8GB RAM",40000,Pre-Owned,4140,False,0
"Apple MacBook Pro 13.3"" 2015 (256GB Storage, 8GB RAM, core i5 2.7GHz)",34999,Pre-Owned,0,False,0
"Apple MacBook Air 13.3"" Laptop w 5th Generation i5 and Fast Onboard Memory",37905,Refurbished,0,True,0
Mid 2015 15 Inch MacBook Pro 16gb Ram 500gb SSD Intel I7,41500,Pre-Owned,0,False,0
MacBook Pro 13 inch Apple Laptop 2011 | Certified Refurbished | Core i5 | 500GB,39900,Certified - Refurbished,0,True,76
New Listing#0400 Apple MacBook Pro 13 Retina Early 2015 3.1 GHz Intel Core i7 16GB 128GB,41999,Pre-Owned,2000,False,0
New ListingApple MacBook Pro Core i5 2.7GHz 13 in Retina Early 2015 256GB SSD- BAD BATTERY,18750,Pre-Owned,2615,False,0
"New Listing16"" Apple MacBook Pro 2.6GHz i7 16GB 512GB (2019)",156000,Pre-Owned,2500,False,0
"Apple MacBook Pro 15"" Retina 3.7GHz Quad Core Turbo 16GB RAM 1TB SSD OS2020",79800,Pre-Owned,0,True,0
"13"" Apple MacBook Air | TURBO BOOST i7 | 256GB SSD | WARRANTY",37900,Refurbished,0,True,0
"New ListingApple MacBook Air 13in (512GB SSD, M1, 8GB) Laptop - Gold - MGNE3LL/A (November,",93400,Open Box,2420,False,0
"Apple MacBook Air 13"" TURBO 8GB i5 2.6ghz 512GB SSD OS-2020 - 3 YEAR WARRANTY",44900,Pre-Owned,0,True,0
"New ListingApple MacBook Pro 13.3"" (256 GB, Intel Core i5 8th Gen. 3.8GHz, 8GB) Space Gray ",62900,Pre-Owned,0,False,0
Apple MacBook Pro 13 TOUCHBAR OS2020/2021 3.5GHz i7 16GB RAM 512GB SSD WARRANTY,89200,Pre-Owned,0,True,0
"New ListingApple MacBook Pro 15.4"" 2.4GHz Core i9 32GB RAM 1TB SSD  RP Vega20  Space Gray",9700,Pre-Owned,1351,False,0
"New Listing2017 APPLE MACBOOK 12"" SPACE GRAY, 1.3GHZ DUAL CORE INTEL i5 8GB RAM, 512GB SSD",15650,Pre-Owned,1084,False,0
Apple MacBook Pro 13 N-TOUCH BAR 2017-2020 Retina Laptop 3.6GHz i5 512GB SSD,74800,Pre-Owned,0,True,0
2020 macbook air i3 rose gold applecare ,49500,Pre-Owned,1795,False,0
MACBOOK PRO 13 | RETINA | CORE i7 | 1TB SSD | 16GB RAM | WARRANTY | OS-Big Sur,29968,Refurbished,0,True,0
macbook air 2018 13 inch,29000,Pre-Owned,2000,False,0
"New ListingApple MacBook Pro With Touch Bar, 2.6GHz  I7,16gb,512gb,560x 4gb Monterey",40800,Pre-Owned,2749,False,0
"MacBook Pro Retina 2015 15"" i7 2.5Ghz 16GB RAM 512GB *AMD R9 M370X 2GB *Grade A-",25501,Pre-Owned,2399,False,0
"Apple MacBook Air 13.3"" 1.6 GHz Core i5, 4GB RAM, 128GB SSD MJVE2LL/A -2015",29900,Refurbished,0,True,826
Apple MacBook Pro 15 inch Laptop | QUAD CORE i7 | 16GB RAM | 1TB | 1 GPU,47400,Pre-Owned,0,True,0
